map,seed_file,budget,score,elapsed_seconds,status,result_file
map1,map1/seed_balanced,10,452.351800,39.4988,OK,map1/result.txt
map2,map2/seed_balanced,15,36030.224900,50.4886,OK,map2/result.txt
map3,map3/seed_balanced,15,36217.946700,36.7220,OK,map3/result.txt
map4,map4/seed_balanced,15,6059.418800,14.1457,OK,map4/result.txt
map5,map5/seed_balanced,15,3080.615400,4.5280,OK,map5/result.txt
