map,budget,output_seed,elapsed_seconds,status
map1,10,map1\seed_balanced,121.7841,OK
map2,14,map2\seed_balanced,86.3108,OK
map3,14,map3\seed_balanced,141.8942,OK
map4,15,map4\seed_balanced,13.3375,OK
map5,15,map5\seed_balanced,16.0666,OK
